Ftherm_star	Ftherm_planet	Frefl_planet	
PPopPhotometry.Star.Blackbody	PPopPhotometry.Planet.Thermal	PPopPhotometry.Planet.Reflected	
03809.825704771489	00000.000051267556	00000.000021023563	
03809.825704771489	00000.203807225477	00000.000004319025	
03809.825704771489	00000.047267529702	00000.000033316416	
03809.825704771489	00000.000875623278	00000.000000813856	
03809.825704771489	00000.001240384355	00000.000007629143	
03809.825704771489	00000.000040685656	00000.000004910030	
03809.825704771489	00000.000002780746	00000.000000215635	
03809.825704771489	00000.000033788996	00000.000000600001	
03809.825704771489	00000.089701609499	00000.000102456024	
03809.825704771489	00000.072514206700	00000.000149642394	
03809.825704771489	00000.004052421703	00000.000015943865	
03809.825704771489	00000.001158541239	00000.000022962867	
03809.825704771489	00000.000008029562	00000.000001798071	
03809.825704771489	00000.005785062001	00000.000002843214	
03809.825704771489	00000.000040486172	00000.000000005962	
03809.825704771489	00000.000000151107	00000.000000111262	
03809.825704771489	00003.825956600612	00000.022998540492	
03809.825704771489	00003.608052956172	00000.000009992311	
03809.825704771489	00000.000002673528	00000.000000004388	
1142436.536927604582	00014.584072353526	00000.017188972654	
1142436.536927604582	00011.998387402963	00000.008430195662	
1142436.536927604582	00011.099571070109	00000.001699836738	
1142436.536927604582	00002.339307077917	00000.000094251670	
1142436.536927604582	00000.195710853034	00000.000081230502	
1142436.536927604582	00019.907136235178	00000.017300051897	
1142436.536927604582	00005.367574636050	00000.001306316914	
1142436.536927604582	00006.795102269749	00000.001749599446	
1142436.536927604582	00003.544530398641	00000.002031004906	
1142436.536927604582	00020.743133974680	00000.005232884998	
1142436.536927604582	00031.496957632304	00000.000183200554	
1142436.536927604582	00000.283005936310	00000.000139874454	
1142436.536927604582	00013.471294261429	00000.003453557203	
1142436.536927604582	00002.855973509923	00000.003993790766	
1142436.536927604582	00000.833241756506	00000.000008518500	
1142436.536927604582	00010.414081790913	00000.003485163887	
1142436.536927604582	00000.524780482817	00000.000015670243	
1142436.536927604582	00014.233068433352	00000.055541224193	
1142436.536927604582	00057.667838363277	00000.000034196802	
1142436.536927604582	00000.167269990806	00000.000000607133	
1142436.536927604582	00085.356373913265	00000.005326920869	
1142436.536927604582	00737.808366190476	00000.621258732936	
197688.746672979236	00022.291962718240	00000.000029541766	
197688.746672979236	00000.583272539983	00000.000216740162	
197688.746672979236	00001.733390547467	00000.000553449737	
197688.746672979236	00000.015964274480	00000.000000740816	
197688.746672979236	00000.279785250144	00000.000042148134	
197688.746672979236	00000.370859416173	00000.000237078917	
197688.746672979236	00000.019038072438	00000.000005553024	
197688.746672979236	00000.587811940822	00000.000222933729	
197688.746672979236	00000.100538377306	00000.000092432344	
197688.746672979236	00000.634395310669	00000.000032280591	
197688.746672979236	00005.755410004674	00000.004344610129	
197688.746672979236	00000.169101414678	00000.000006224126	
197688.746672979236	00002.920554709303	00000.012465501437	
197688.746672979236	00000.113167673815	00000.000011060136	
197688.746672979236	00000.006550252546	00000.000007207464	
197688.746672979236	00000.033680683442	00000.000014800613	
197688.746672979236	00018.782764330990	00000.020778023333	
197688.746672979236	00012.742189223153	00000.000208741336	
197688.746672979236	00000.495689169101	00000.000205581286	
197688.746672979236	00001.231427886041	00000.008409742866	
197688.746672979236	00000.020029072128	00000.000029313343	
197688.746672979236	00000.181217838699	00000.000186105339	
197688.746672979236	00000.051060754541	00000.000026389890	
197688.746672979236	00000.027287075437	00000.000001032597	
3052985.419431335758	00774.108149705658	00000.032965758474	
3052985.419431335758	00011.204644902891	00000.000002102663	
3052985.419431335758	00485.736136221497	00000.003118197588	
3052985.419431335758	00000.175761387009	00000.000018563001	
3052985.419431335758	00042.071700849154	00000.008383730522	
3052985.419431335758	00056.044248841990	00000.160072092551	
3052985.419431335758	00101.936220308514	00000.026369817155	
3052985.419431335758	00027.933712350889	00000.001859875997	
3052985.419431335758	00000.103888295910	00000.000002164401	
3052985.419431335758	00089.639077862711	00000.011774706145	
3052985.419431335758	00006.642793693256	00000.004570400266	
3052985.419431335758	00201.605934737997	00000.090763219311	
3052985.419431335758	00008.877051036752	00000.000278431046	
3052985.419431335758	00002.357404738989	00000.001704654472	
3052985.419431335758	00255.395762636474	00000.874716137576	
3052985.419431335758	00000.250670040275	00000.000432014646	
3052985.419431335758	00006.043647263176	00000.000768446076	
