Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
03687.673526886760	00000.012515486567	00000.000019828220	
03687.673526886760	00000.018203480109	00000.000001911539	
03687.673526886760	00000.000004635955	00000.000002643043	
03687.673526886760	00000.000000401203	00000.000000120878	
03687.673526886760	00000.067121480527	00000.000012424940	
233266.636784444388	00003.347703803063	00000.014583583326	
233266.636784444388	00043.727927863214	00000.002441319035	
233266.636784444388	00001.514127587678	00000.000862263470	
233266.636784444388	00000.629138695536	00000.000050766522	
233266.636784444388	00000.285252857716	00000.000045338341	
233266.636784444388	00046.228165203836	00000.006348967453	
233266.636784444388	00000.703281459765	00000.000677595591	
71186.551092064998	00010.854299476733	00000.069970227922	
71186.551092064998	00000.058040193515	00000.000005842184	
71186.551092064998	00000.003794850374	00000.000023498071	
71186.551092064998	00000.292232127101	00000.000002605611	
71186.551092064998	00000.003136259914	00000.000000604761	
71186.551092064998	00000.001781492242	00000.000008123697	
71186.551092064998	00000.008844326405	00000.000000016204	
71186.551092064998	00000.238752218094	00000.000282178731	
58543.274345396465	00000.458036176214	00000.000075840583	
254291.686305243173	00002.426767486391	00000.014243800119	
241735.026281168888	00000.722068314375	00000.000925993768	
134877.679603272874	00000.020046875928	00000.000000116901	
134877.679603272874	00030.850207264661	00000.117998532728	
134877.679603272874	00010.572814655008	00000.001020126015	
134877.679603272874	00000.135097593277	00000.000000617499	
94016.348595760486	00023.370777274124	00000.006527440039	
94016.348595760486	00000.845200168509	00000.000004227293	
94016.348595760486	00000.103840861749	00000.000012711221	
94016.348595760486	00000.044706690246	00000.000018641603	
94016.348595760486	00000.037648567433	00000.000000985983	
94016.348595760486	00000.145125457653	00000.000008965104	
290332.224061848130	00001.898209538226	00000.001214806916	
290332.224061848130	00017.380573666653	00000.001532465860	
290332.224061848130	00004.536935618102	00000.003414825601	
290332.224061848130	00002.807493154692	00000.014077337989	
290332.224061848130	00002.103523673367	00000.000581691956	
193932.530357630516	00003.652515011906	00000.013603188845	
193932.530357630516	00001.818889295930	00000.000010186161	
193932.530357630516	00000.333729509441	00000.000000373644	
193932.530357630516	00001.559592871186	00000.000431571931	
193932.530357630516	00000.032183052800	00000.000012496756	
193932.530357630516	00217.685257705084	00000.244135950841	
193932.530357630516	00000.257885346159	00000.000014846083	
193932.530357630516	00000.031987364583	00000.000017579310	
160708.015603398380	00000.892616535724	00000.000513576585	
160708.015603398380	00005.288380967774	00000.000053415253	
160708.015603398380	00000.047910599476	00000.000004903298	
160708.015603398380	00000.021445275834	00000.000001587171	
155344.857883685792	00002.730723413524	00000.007508131635	
155344.857883685792	00002.100534417696	00000.000086109374	
155344.857883685792	00002.469304829180	00000.000351876185	
155344.857883685792	00001.858194921785	00000.021231793256	
155344.857883685792	00001.052438045359	00000.000076784903	
155344.857883685792	00001.597523058367	00000.000131243934	
155344.857883685792	00000.185238225080	00000.000054055351	
155344.857883685792	00000.186768168236	00000.000000086616	
155344.857883685792	00000.027180594691	00000.000008234862	
155344.857883685792	00000.007540506438	00000.000000343195	
155344.857883685792	00000.012132083761	00000.000001811323	
122848.582211873974	00000.314247110359	00000.000004272229	
122848.582211873974	00011.910362546885	00000.002694827788	
122848.582211873974	00000.766798715778	00000.000003071954	
429812.504790115519	00001.497080757254	00000.000255364338	
429812.504790115519	00004.259044782791	00000.000863949678	
429812.504790115519	00000.457622246538	00000.000064340153	
429812.504790115519	00000.014169676407	00000.000007601216	
429812.504790115519	00000.071330395471	00000.000000587385	
16087.496072544389	00006.327967277628	00000.000861736412	
16087.496072544389	00000.005945096581	00000.000003700390	
16087.496072544389	00000.000013898273	00000.000001432431	
16087.496072544389	00000.990733675462	00000.001753282787	
16087.496072544389	00000.004512099931	00000.000023491177	
16087.496072544389	00000.000025228042	00000.000000010281	
124477.510572753745	00001.441565312002	00000.000386337878	
124477.510572753745	00001.268705506966	00000.000109297012	
124477.510572753745	00001.534739244350	00000.000055653728	
124477.510572753745	00000.289782565011	00000.001208301947	
124477.510572753745	00000.729650467527	00000.000082898386	
124477.510572753745	00000.823911551462	00000.000351436008	
124477.510572753745	00000.090929410093	00000.000051811157	
124477.510572753745	00000.002033922873	00000.000001457274	
125734.379658950318	00000.043445098714	00000.000014100508	
125918.980577409966	00003.101142757825	00000.000013857226	
125918.980577409966	00000.689807539842	00000.000879199805	
125918.980577409966	00000.007632203560	00000.000000172097	
104717.655947281339	00001.913143164113	00000.010798450297	
104717.655947281339	00000.035409420651	00000.000000436101	
104717.655947281339	00000.004922314844	00000.000000187786	
104717.655947281339	00000.007185061605	00000.000000041967	
57166.140654244249	00000.480831503824	00000.001154893475	
57166.140654244249	00003.427920781030	00000.000346050964	
57166.140654244249	00000.208803202956	00000.000248696540	
57166.140654244249	00000.071488621218	00000.000003932912	
155132.734346109937	00000.558703776489	00000.000020990472	
155132.734346109937	00000.169288935215	00000.000000768259	
155132.734346109937	00000.324668696363	00000.000001014214	
155132.734346109937	00001.117405657626	00000.000088531499	
155132.734346109937	00000.242615969188	00000.000051009814	
407627.785335732275	00000.056458674218	00000.000145369703	
170147.322714066278	00018.262158387453	00000.038367415937	
170147.322714066278	00000.058406649956	00000.000019475725	
170147.322714066278	00000.040783616810	00000.000017774557	
170147.322714066278	00000.063430538556	00000.000004621943	
170147.322714066278	00005.130497405563	00000.015558217439	
170147.322714066278	00001.544792469031	00000.000338853520	
