nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	SName	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	SName	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
1	1.58684	268.57756	2.94136	0.00000	1.05284	3.40149	0.12073	5.84889	0.71827	0.21351	0.08136	9.95028	0.70936	0.70936	0.19542	0.20284	0.28424	0.46381	148.05797	4	*  61 Cyg A	0.67200	0.66000	4330.00000	3.49717	K	316.72475	38.74942	82.31974	-5.81811	
0	2.81867	13.00339	4.64220	0.00000	1.48632	3.53082	3.24937	4.31461	0.28397	0.23187	0.05501	0.78610	0.09278	0.09278	0.00789	0.02655	12.28402	0.00289	479.31577	5	*  61 Cyg B	0.65400	0.63000	4070.00000	3.49472	K	316.73027	38.74205	82.31713	-5.82624	
0	1.87223	45.68314	4.73949	0.00000	1.48632	0.41675	5.05740	3.24320	0.05673	0.47756	0.03292	0.78610	0.21441	0.21441	0.02691	0.06135	2.30007	0.00973	337.79122	5	*  61 Cyg B	0.65400	0.63000	4070.00000	3.49472	K	316.73027	38.74205	82.31713	-5.82624	
0	0.53105	227.85181	0.07484	0.00000	1.48632	5.57636	0.32203	2.89969	0.75803	0.25589	0.08507	0.78610	0.62592	0.62592	0.17853	0.17910	0.26991	0.35920	140.70155	5	*  61 Cyg B	0.65400	0.63000	4070.00000	3.49472	K	316.73027	38.74205	82.31713	-5.82624	
1	0.65255	15.08063	0.18259	0.00000	1.08547	3.83410	2.62283	3.05271	0.13414	0.56788	0.04047	3.87911	0.10242	0.10242	0.02529	0.02931	10.08145	0.61234	478.40650	5	*  61 Cyg B	0.65400	0.63000	4070.00000	3.49472	K	316.73027	38.74205	82.31713	-5.82624	
1	0.74260	124.25538	0.37736	0.00000	1.08547	5.56134	3.06009	5.55419	0.37240	0.33010	0.05688	3.87911	0.41779	0.41779	0.09176	0.11955	0.60580	0.06580	218.55259	5	*  61 Cyg B	0.65400	0.63000	4070.00000	3.49472	K	316.73027	38.74205	82.31713	-5.82624	
0	0.92876	1.20194	3.54503	0.00000	1.56035	5.35050	1.13229	4.65761	0.78289	0.27612	0.01440	107.61460	0.02433	0.02433	0.00117	0.00133	5826.29369	0.59146	1659.85676	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	0.75263	2.22860	0.63380	0.00000	1.56035	1.97000	2.00326	0.05781	0.48661	0.16704	0.06899	107.61460	0.03672	0.03672	0.00095	0.00201	2557.77560	0.01221	1675.44668	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	1.92502	5.87135	4.54690	0.00000	1.56035	2.37523	4.35358	5.58032	0.04026	0.07569	0.07424	107.61460	0.07005	0.07005	0.00335	0.00384	702.94459	0.60062	1418.47836	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	0.60845	11.25936	0.36961	0.00000	1.56035	4.79448	5.24531	3.90970	0.75586	0.24718	0.01472	107.61460	0.10813	0.10813	0.00571	0.00592	295.04383	0.19643	810.84322	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	0.59212	46.51072	0.13102	0.00000	1.56035	1.95938	5.75863	3.14288	0.29251	0.46377	0.04935	107.61460	0.27837	0.27837	0.01321	0.01525	44.51444	0.10911	659.33993	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	0.61828	78.54214	0.18259	0.00000	1.56035	3.57688	0.82586	3.20146	0.50621	0.33900	0.04924	107.61460	0.39475	0.39475	0.01368	0.02162	22.13611	0.80688	506.07573	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	3.06103	125.97380	6.74323	0.00000	1.56035	0.82902	3.48976	3.73926	0.77962	0.24459	0.01851	107.61460	0.54089	0.54089	0.01734	0.02963	11.79048	0.02491	353.37070	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
1	0.74107	78.93883	0.22938	0.00000	2.21188	6.05344	5.64364	4.39132	0.78174	0.38667	0.01171	6.53837	0.39608	0.39608	0.01927	0.02170	21.98792	0.58213	411.94837	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
1	2.11598	253.27358	5.83192	0.00000	2.21188	4.76798	4.03219	5.37358	0.13532	0.35920	0.03657	6.53837	0.86162	0.86162	0.04719	0.04720	4.64642	0.31073	394.04618	6	* 212 Pup A	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	
0	1.70864	0.90679	4.45356	0.00000	0.70340	2.60448	3.08892	2.62829	0.62965	0.05584	0.02464	148.84554	0.01651	0.01651	0.00084	0.00090	836.12849	0.51108	1167.54549	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	2.24870	57.88021	5.71221	0.00000	0.70340	5.03877	5.26554	2.89015	0.56111	0.18276	0.02884	148.84554	0.26369	0.26369	0.01129	0.01436	3.27776	0.07242	304.81633	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	1.77365	107.02043	4.64220	0.00000	0.70340	3.02260	4.20062	2.13427	0.31792	0.00808	0.00118	148.84554	0.39724	0.39724	0.02162	0.02163	1.44432	0.30177	277.28566	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	0.82689	147.68560	1.06452	0.00000	0.70340	6.08279	0.53956	2.13268	0.03857	0.16731	0.03086	148.84554	0.49238	0.49238	0.02564	0.02681	0.94008	0.18575	271.37786	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	2.98517	224.79064	12.56343	0.00000	0.70340	1.52613	0.79872	4.60036	0.06626	0.45203	0.03868	148.84554	0.65152	0.65152	0.03072	0.03548	0.53692	0.60914	234.20117	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	0.69473	322.98001	0.23910	0.00000	0.70340	4.48758	4.65506	2.30003	0.43192	0.19254	0.06344	148.84554	0.82959	0.82959	0.04135	0.04518	0.33117	0.14316	183.30234	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	2.22832	491.03958	9.79517	0.00000	0.70340	4.94999	3.00850	3.21543	0.15977	0.07306	0.07475	148.84554	1.09687	1.09687	0.05969	0.05973	0.18944	0.33770	175.80002	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
1	0.73508	181.43979	0.64709	0.00000	1.14196	4.79524	0.61673	1.06341	0.49093	0.14078	0.08320	1.34819	0.56481	0.56481	0.01315	0.03076	0.71445	0.00897	216.14359	7	* 212 Pup B	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	
0	0.86189	4.45959	3.40098	0.00000	0.39199	5.29631	6.17482	1.92193	0.13150	0.26062	0.06528	0.68860	0.05712	0.05712	0.00380	0.00409	825.17324	0.15505	1440.06529	8	* alf For A	1.36000	1.25000	6340.00000	13.95054	F	48.01887	-28.98762	224.73041	-59.03032	
0	0.54637	0.87527	0.07801	0.00000	1.99790	5.04747	0.41503	3.47554	0.42104	0.23144	0.04636	184.96453	0.01767	0.01767	0.00099	0.00126	2431.28514	0.69153	1704.80256	9	* alf For B	0.94900	0.96000	5530.00000	14.05916	G	48.01750	-28.98695	224.72890	-59.03145	
0	1.31735	59.82740	2.06734	0.00000	1.99790	5.27407	1.00230	1.07456	0.53705	0.02222	0.09788	184.96453	0.29534	0.29534	0.01271	0.02101	8.69952	0.02792	394.28543	9	* alf For B	0.94900	0.96000	5530.00000	14.05916	G	48.01750	-28.98695	224.72890	-59.03145	
0	0.75705	1.31387	0.34731	0.00000	1.31638	5.25992	4.92316	4.63137	0.34671	0.11433	0.02811	7.15528	0.02529	0.02529	0.00281	0.00283	4209.21204	0.38342	2015.49182	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
0	4.64749	3.57014	21.54350	0.00000	1.31638	3.94547	3.99193	4.36954	0.50198	0.33182	0.09134	7.15528	0.04925	0.04925	0.00294	0.00552	1110.08890	0.01831	1349.59724	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
0	0.63739	10.59241	0.24923	0.00000	1.31638	5.75326	4.03033	6.17707	0.38764	0.08849	0.02094	7.15528	0.10169	0.10169	0.00833	0.01139	260.38237	0.73704	989.02685	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
0	1.10308	50.33533	1.90274	0.00000	1.31638	2.45926	2.34274	4.95979	0.59186	0.01488	0.03304	7.15528	0.28742	0.28742	0.01823	0.03220	32.59173	0.02229	531.53465	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
0	1.16879	319.46963	2.29325	0.00000	1.31638	0.98482	0.04638	1.68594	0.08046	0.57093	0.00521	7.15528	0.98528	0.98528	0.03266	0.11037	2.77352	0.00285	351.72587	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
1	1.40531	8.63457	5.25741	0.00000	1.86207	1.24051	5.58053	1.89867	0.24820	0.04658	0.01132	493.99175	0.08874	0.08874	0.00451	0.00994	341.94029	0.01080	1114.46750	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
1	2.30181	17.46419	5.04378	0.00000	1.86207	5.78332	3.78395	1.09446	0.69458	0.51423	0.08917	493.99175	0.14192	0.14192	0.00521	0.01590	133.68216	0.94862	703.54988	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
1	1.77393	277.08685	5.71221	0.00000	1.86207	3.95725	0.08116	2.13460	0.79690	0.08856	0.01942	493.99175	0.89609	0.89609	0.06459	0.10038	3.35313	0.03450	252.83902	10	* gam Lep	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	
0	6.63522	7.98772	54.78689	0.00000	2.37712	3.82962	6.13037	0.24114	0.51005	0.10891	0.09831	0.98575	0.08425	0.08425	0.00516	0.00517	379.35043	0.28838	1027.66780	11	* ksi Peg	1.36000	1.25000	6340.00000	16.29726	F	341.67325	12.17288	81.27500	-40.39897	
0	0.63932	68.93534	0.08476	0.00000	2.37712	5.91791	4.82736	5.30231	0.10467	0.59602	0.04615	0.98575	0.35446	0.35446	0.01944	0.02175	21.42966	0.57513	582.50949	11	* ksi Peg	1.36000	1.25000	6340.00000	16.29726	F	341.67325	12.17288	81.27500	-40.39897	
