# %ECSV 0.9,,,,,,,,,,,,
# ---,,,,,,,,,,,,
# datatype:,,,,,,,,,,,,
# - name: sim_ra,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Right ascension,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.ra;meta.main},,,,,,,,,,,,
# - name: sim_dec,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Declination,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.dec;meta.main},,,,,,,,,,,,
# - name: sim_plx,,,,,,,,,,,,
#   unit: mas,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Parallax,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - name: distance,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - {name: sim_name, datatype: string},,,,,,,,,,,
# - {name: sim_sptype, datatype: string},,,,,,,,,,,
# - {name: gal_coord_l, unit: deg, datatype: float64},,,,,,,,,,
# - {name: gal_coord_b, unit: deg, datatype: float64},,,,,,,,,,
# - {name: mod_Teff, unit: K, datatype: float64},,,,,,,,,,
# - {name: mod_R, unit: solRad, datatype: float64},,,,,,,,,,
# - {name: mod_M, unit: solMass, datatype: float64},,,,,,,,,,
# - {name: sep_phys, unit: AU, datatype: float64},,,,,,,,,,
# - {name: binary_flag, datatype: bool},,,,,,,,,,,
# delimiter: ',',,,,,,,,,,,
# meta: !!omap,,,,,,,,,,,,
# - {ID: result_1591693106145},,,,,,,,,,,,
# - {name: result_1591693106145},,,,,,,,,,,,
# schema: astropy-2.0,,,,,,,,,,,,
sim_ra,sim_dec,sim_plx,distance,sim_name,sim_sptype,gal_coord_l,gal_coord_b,mod_Teff,mod_R,mod_M,sep_phys,binary_flag
274.5176116,38.77572391,88.0532,11.35677068,G 204-58,M3V,66.18606246,22.72024759,3250,0.291,0.26,96.5,TRUE
145.645172,70.0338793,84.3568,11.85440889,G 236-1,M2.5V,141.861027,39.42019262,3500,0.393,0.4,1047.9,TRUE
145.7155335,70.03941087,84.1959,11.8770629,G 236-2,M3.5V,141.8383494,39.43753803,3250,0.291,0.26,1049.9,TRUE
3.411300733,80.66578925,51.9505,19.24909289,G 242-48,M1.5V,121.3285168,17.91191314,3650,0.46,0.47,246.4,TRUE
90.19418264,68.1414191,50.3718,19.85237772,G 249-27,M4,145.7539627,20.52091281,3100,0.243,0.18,1111.7,TRUE
90.20629375,68.15634559,50.3488,19.86144655,G 249-28,M3.5Ve,145.7409871,20.53068273,3250,0.291,0.26,1112.2,TRUE
11.45119691,-41.90918962,63.507,15.74629568,HD   4378A,K5Ve,307.030852,-75.17420011,4330,0.672,0.66,75.6,TRUE
11.45295179,-41.90961757,63.5619,15.73269522,HD   4378B,K7Ve,307.025624,-75.17388529,4070,0.654,0.63,75.5,TRUE
37.25718115,-19.97917652,51.2879,19.49777628,HD  15468,K4.5Vk,200.4151758,-66.56805646,4540,0.737,0.71,9241.9,TRUE
50.82156931,-49.99192062,51.8133,19.30006388,HD  21209,K3.5V,261.6577913,-53.16556101,4700,0.72,0.73,283.7,TRUE
50.8162063,-49.99409524,51.8098,19.30136769,HD  21209B,K8Vk:,261.6634478,-53.16782307,4000,0.587,0.59,283.7,TRUE
85.3347322,53.48105851,81.43,12.28048631,HD  37394,K1,158.3844921,11.94528957,5140,0.809,0.82,1197.3,TRUE
133.8533057,70.79431358,86.3786,11.57694151,HD  75632A,M1V,143.2102265,35.54671465,3650,0.46,0.47,39.4,TRUE
133.8538369,70.79393901,86.321,11.58466654,HD  75632B,M1V,143.2105835,35.5470087,3650,0.46,0.47,39.4,TRUE
138.5948977,52.68660912,157.8796,6.333940547,HD  79210,K7V,164.9355106,42.66749543,4070,0.654,0.63,107.7,TRUE
